school_id_num,address1,city,state,zip,county_code,county_name,district_code,district_name,school_code,school_name,princ_title,princ_first_name,princ_last_name,princ_title_2,princ_email,address2,mailing_address1,mailing_address2,mailing_city,mailing_state,mailing_zip,hib_title1,hib_first_nname,hib_last_name,hib_title2,homeless_liaison_title1,homeless_liaison_first_name,homeless_liaison_last_name,homeless_liaison_title2,phone,pre_k,kindergarten,grade_1,grade_2,grade_3,grade_4,grade_5,grade_6,grade_7,grade_8,grade_9,grade_10,grade_11,grade_12,post_grad_,adult_ed_,latitude,longitude
3,1 BELMONT RUNYON WAY,NEWARK,NJ,07108-2406,13,ESSEX,3570,NEWARK PUBLIC SCHOOL DISTRICT,225,BELMONT RUNYON ELEMENTARY SCHOOL,Mr,Shawn,Oxendine-Walter,Principal,sowalter@nps.k12.nj.us, ,1 BELMONT RUNYON WAY,,NEWARK,NJ,4702,Ms,Linda,Bacon,Anti-Bullying Specialist,,,,,(973)733-6920,1    ,1    ,1    ,1    ,1    ,1    ,1    ,1    ,1    ,1    ,NA   ,NA   ,NA   ,NA   ,NA   ,NA   ,40.715112,-74.192495
4,1 BURTON AVENUE,HASBROUCK HEIGHTS,NJ,7604,3,BERGEN,2080,HASBROUCK HEIGHTS SCHOOL DISTRICT,60,EUCLID ELEMENTARY SCHOOL,Mr,Michael,Sickels,Principal,sickelsm@hhschools.org, ,1 BURTON AVENUE,,HASBROUCK HEIGHTS,NJ,7604,Mrs,Maria,Philp,Anti-Bullying Specialist,,,,,(201)288-6150,1    ,1    ,1    ,1    ,1    ,1    ,1    ,NA   ,NA   ,NA   ,NA   ,NA   ,NA   ,NA   ,NA   ,NA   ,40.856632,-74.079223
5,1 CARTERET AVENUE,CARTERET,NJ,7008,23,MIDDLESEX,750,CARTERET PUBLIC SCHOOL DISTRICT,50,COLUMBUS ELEMENTARY SCHOOL,Mr,Stephen,Peters,Principal,speters@carteretschools.org, ,1 CARTERET AVENUE,,CARTERET,NJ,7008,Ms,Christine,Rozanski,Anti-Bullying Specialist,,,,,(732)541-8960,1    ,1    ,1    ,1    ,1    ,1    ,1    ,NA   ,NA   ,NA   ,NA   ,NA   ,NA   ,NA   ,NA   ,NA   ,40.573646,-74.22196
6,1 COLONNADE PL,NEWARK,NJ,07104-1810,13,ESSEX,3570,NEWARK PUBLIC SCHOOL DISTRICT,520,MCKINLEY,Ms,Carolyn,Granato,Principal,cgranato@nps.k12.nj.us, ,1 COLONNADE PL,,NEWARK,NJ,5294,Mrs,Rosa,Sanchez,Anti-Bullying Specialist,,,,,(973)268-5270,1    ,1    ,1    ,1    ,1    ,1    ,1    ,1    ,1    ,1    ,NA   ,NA   ,NA   ,NA   ,NA   ,NA   ,40.749786,-74.177744
573,151 ELLISON STREET,PATERSON,NJ,7505,31,PASSAIC,4010,PATERSON PUBLIC SCHOOL DISTRICT,6,ALTERNATIVE HIGH SCHOOL,,,,,, ,151 ELLISON STREET,,PATERSON,NJ,7505,,,,,,,,,(973)321-0570,NA   ,NA   ,NA   ,NA   ,NA   ,NA   ,NA   ,1    ,1    ,1    ,1    ,1    ,1    ,1    ,NA   ,NA   ,40.917501,-74.171043
21,1 LINCOLN DR,CRESSKILL,NJ,7626,3,BERGEN,990,CRESSKILL PUBLIC SCHOOL DISTRICT,45,CRESSKILL MIDDLE SCHOOL,,,,,, ,1 LINCOLN DR,,CRESSKILL,NJ,7626,Ms,Cassandra,Comperatore,Anti-Bullying Specialist,,,,,(201)227-7791,NA   ,NA   ,NA   ,NA   ,NA   ,NA   ,NA   ,1    ,1    ,1    ,NA   ,NA   ,NA   ,NA   ,NA   ,NA   ,40.948106,-73.963798
1115,250 18TH AVENUE,NEWARK,NJ,7103,13,ESSEX,3570,NEWARK PUBLIC SCHOOL DISTRICT,30,CENTRAL HIGH SCHOOL,Ms,Sharnee,Brown,Principal,s2brown@nps.k12.nj.us, ,250 18TH AVENUE,,NEWARK,NJ,7103,Mr,Kyle,Thomas,Anti-Bullying Specialist,,,,,(973)733-6378,NA   ,NA   ,NA   ,NA   ,NA   ,NA   ,NA   ,NA   ,NA   ,NA   ,1    ,1    ,1    ,1    ,1    ,NA   ,40.748129,-74.20484
13,1 EAST 32ND STREET,PATERSON,NJ,7514,31,PASSAIC,4010,PATERSON PUBLIC SCHOOL DISTRICT,290,SCHOOL 26,Ms,COURTNEY,GLOVER,Principal,cglover@paterson.k12.nj.us, ,1 EAST 32ND STREET,,PATERSON,NJ,7514,,,,,,,,,(973)321-0260,NA   ,1    ,1    ,1    ,1    ,1    ,1    ,1    ,1    ,1    ,NA   ,NA   ,NA   ,NA   ,NA   ,NA   ,40.921867,-74.142236
14,1 Evergreen Place,MORRISTOWN,NJ,7960,80,MORRIS,8050,UNITY CHARTER SCHOOL,990,UNITY CS,Dr,Karen,Lake,School Lead,karen.lake@unitycharterschool.org,Suite A ,1 Evergreen Place,Suite A,MORRISTOWN,NJ,7960,Dr,Karen,Lake,Anti-Bullying Specialist,,,,,(973)292-1808 Ext. 12,NA   ,1    ,1    ,1    ,1    ,1    ,1    ,1    ,1    ,1    ,NA   ,NA   ,NA   ,NA   ,NA   ,NA   ,40.805646,-74.466778
15,1 Gables Court,NEPTUNE,NJ,07753-4299,25,MONMOUTH,3510,NEPTUNE TOWNSHIP SCHOOL DISTRICT,61,GABLES ELEMENTARY SCHOOL,Mrs,Sally,Millaway,Principal,samillaway@neptune.k12.nj.us, ,1 Gables Court,,NEPTUNE,NJ,3454,,Kathleen,Kason,Anti-Bullying Specialist,,,,,(732)776-2200,1    ,1    ,1    ,1    ,1    ,1    ,1    ,NA   ,NA   ,NA   ,NA   ,NA   ,NA   ,NA   ,NA   ,NA   ,40.209122,-74.038627
16,1 GRAND TOUR,HIGHLANDS,NJ,07732-2001,25,MONMOUTH,2120,HENRY HUDSON REGIONAL SCHOOL DISTRICT,50,HENRY HUDSON REGIONAL SCHOOL,Mrs,Lenore,Kingsmore,Principal,lkingsmore@hhrs.us, ,1 GRAND TOUR,,HIGHLANDS,NJ,5731,Mrs,Lorraine,Ross,Anti-Bullying Specialist,Ms,Tammy,Mulvaney,School Homeless Liaison,(732)872-0900,NA   ,NA   ,NA   ,NA   ,NA   ,NA   ,NA   ,NA   ,1    ,1    ,1    ,1    ,1    ,1    ,NA   ,NA   ,40.39248,-73.985325
17,1 GROVE PLACE,EAST ORANGE,NJ,07017-4706,13,ESSEX,1210,EAST ORANGE SCHOOL DISTRICT,100,MILDRED BARRY GARVIN ELEMENTARY,Dr,Howard,Walker,Principal,h.walker@eastorange.k12.nj.us, ,1 GROVE PLACE,,EAST ORANGE,NJ,2311,Ms,Lita,King-anderson,Anti-Bullying Specialist,,,,,(973)673-5410,1    ,1    ,1    ,1    ,1    ,1    ,1    ,NA   ,NA   ,NA   ,NA   ,NA   ,NA   ,NA   ,NA   ,NA   ,40.759567,-74.201228
18,1 Haines Avenue,Emerson,NJ,7630,3,BERGEN,1360,EMERSON PUBLIC SCHOOL DISTRICT,70,MEMORIAL SCHOOL,Mrs,Jessica,Espinoza,Principal,jespinoza@emerson.k12.nj.us, ,1 Haines Avenue,,Emerson,NJ,7630,Mrs,Kristy,Friedman,Anti-Bullying Specialist,,,,,(201)599-7580,1    ,1    ,1    ,1    ,NA   ,NA   ,NA   ,NA   ,NA   ,NA   ,NA   ,NA   ,NA   ,NA   ,NA   ,NA   ,40.981974,-74.032954
19,1 JEFFERSON DRIVE,LAKE HOPATCONG,NJ,7849,27,MORRIS,2380,JEFFERSON TOWNSHIP PUBLIC SCHOOL DISTRICT,40,ELLEN T. BRIGGS ELEMENTARY SCHOOL,Mrs,Randi,DeBrito,Principal,rdebrito@jefftwp.org, ,1 JEFFERSON DRIVE,,LAKE HOPATCONG,NJ,7849,Ms,Elizabeth,Golas,Anti-Bullying Specialist,,,,,(973)663-0900,NA   ,1    ,1    ,1    ,NA   ,NA   ,NA   ,NA   ,NA   ,NA   ,NA   ,NA   ,NA   ,NA   ,NA   ,NA   ,40.95382,-74.613937
20,1 Lincoln Avenue,Lake Hiawatha,NJ,7034,27,MORRIS,3950,PARSIPPANY-TROY HILLS TOWNSHIP SCHOOL DISTRICT,70,LAKE HIAWATHA ELEMENTARY SCHOOL,Mrs,Angelina,Martino Finnegan,School Principal,amartino@pthsd.k12.nj.us, ,1 Lincoln Avenue,PO Box 52,Parsippany,NJ,7054,Mr,Panayotis,Radiotis,Anti-Bullying Specialist,,,,,(973)263-4344,1    ,1    ,1    ,1    ,1    ,1    ,1    ,NA   ,NA   ,NA   ,NA   ,NA   ,NA   ,NA   ,NA   ,NA   ,40.875539,-74.38533
22,1 LINCOLN DR,CRESSKILL,NJ,07626-1145,3,BERGEN,990,CRESSKILL PUBLIC SCHOOL DISTRICT,40,CRESSKILL HIGH SCHOOL,Ms,Alison,Angrisani,Principal,aangrisani@cboek12.org, ,1 LINCOLN DR,,CRESSKILL,NJ,6481,Mr,Michael,Zelizo,Anti-Bullying Specialist,,,,,(201)227-7791,NA   ,NA   ,NA   ,NA   ,NA   ,NA   ,NA   ,NA   ,NA   ,NA   ,1    ,1    ,1    ,1    ,NA   ,NA   ,40.948106,-73.963798
23,1 LOUISA PLACE,WEEHAWKEN,NJ,7086,17,HUDSON,5580,WEEHAWKEN PUBLIC SCHOOL DISTRICT,80,THEODORE ROOSEVELT SCHOOL,Mr,Alfred,Orecchio,School Principal,aorecchi@weehawken.k12.nj.us,T. Roosevelt School ,1 LOUISA PLACE,T. Roosevelt School,WEEHAWKEN,NJ,7086,Mrs,Jane,Tibbatts,Anti-Bullying Specialist,,,,,(201)422-6140,NA   ,NA   ,NA   ,NA   ,1    ,1    ,1    ,1    ,NA   ,NA   ,NA   ,NA   ,NA   ,NA   ,NA   ,NA   ,40.776804,-74.015216
24,1 MANNY MARTIN WAY,OLD BRIDGE,NJ,8857,23,MIDDLESEX,3845,OLD BRIDGE TOWNSHIP SCHOOL DISTRICT,108,JAMES A. MCDIVITT ELEMENTARY SCHOOL,Mrs,Laurie,Coletti,Principal,Laurie.Coletti@obps.org, ,1 MANNY MARTIN WAY,,OLD BRIDGE,NJ,8857,Mrs,Phyllis,Bloom,Anti-Bullying Specialist,,,,,(732)360-4512,NA   ,1    ,1    ,1    ,1    ,1    ,1    ,NA   ,NA   ,NA   ,NA   ,NA   ,NA   ,NA   ,NA   ,NA   ,40.409828,-74.301764
25,1 OZZIE NELSON DRIVE,RIDGEFIELD PARK,NJ,7660,3,BERGEN,4380,RIDGEFIELD PARK SCHOOL DISTRICT,50,RIDGEFIELD PARK JR SR HIGH SCHOOL,Mr,James,Donohue,Principal,jdonohue@rpps.net, ,1 OZZIE NELSON DRIVE,,RIDGEFIELD PARK,NJ,7660,Mrs,Marie,Gagliano,Anti-Bullying Specialist,,,,,(201)440-1440,NA   ,NA   ,NA   ,NA   ,NA   ,NA   ,NA   ,NA   ,1    ,1    ,1    ,1    ,1    ,1    ,NA   ,NA   ,40.858795,-74.013904
26,1 PALM STREET,TOWNSHIP OF WASHINGTON,NJ,7676,3,BERGEN,5755,WESTWOOD REGIONAL SCHOOL DISTRICT,65,JESSIE F. GEORGE ELEMENTARY,Ms,Jessica,Gluck,Principal,jessica.gluck@wwrsd.org, ,1 PALM STREET,,TOWNSHIP OF WASHINGTON,NJ,7676,Ms,Christina,Santagato,Anti-Bullying Specialist,,,,,(201)664-3033,NA   ,1    ,1    ,1    ,1    ,1    ,1    ,NA   ,NA   ,NA   ,NA   ,NA   ,NA   ,NA   ,NA   ,NA   ,40.991239,-74.051365
27,1 PARK AVENUE,PISCATAWAY,NJ,8854,23,MIDDLESEX,3145,MIDDLESEX REGIONAL EDUCATIONAL SERVICES COMMISSION,90,NUVIEW ACADEMY,Mr,William,Walsh,School Principal,bwalsh@mresc.k12.nj.us, ,1 PARK AVENUE,,PISCATAWAY,NJ,8854,Ms,Jennifer,Woodard,Anti-Bullying Specialist,,,,,(732)878-0070,NA   ,1    ,1    ,1    ,1    ,1    ,1    ,1    ,1    ,1    ,1    ,1    ,1    ,1    ,NA   ,NA   ,40.526623,-74.490303
28,1 ROMAR AVENUE,JERSEY CITY,NJ,7305,80,HUDSON,7830,SOARING HEIGHTS,980,SOARING HEIGHTS CS,Mrs,Claudia,Zuorick,School Administrator,soaringheights07302@yahoo.com, ,1 ROMAR AVENUE,,JERSEY CITY,NJ,7305,Ms,Syephanie,Mastropaolo,Anti-Bullying Specialist,,,,,(201)434-4800,NA   ,1    ,1    ,1    ,1    ,1    ,1    ,1    ,1    ,1    ,NA   ,NA   ,NA   ,NA   ,NA   ,NA   ,40.698067,-74.100791
29,1 SCHOOL LANE,BARRINGTON,NJ,8007,7,CAMDEN,190,BARRINGTON SCHOOL DISTRICT,30,WOODLAND MIDDLE SCHOOL,Mr,David,Zucker,School Principal,dzucker@barringtonschools.net, ,1 SCHOOL LANE,,BARRINGTON,NJ,8007,Ms,Kelly,Petitt,Anti-Bullying Specialist,,,,,(856)547-8402,NA   ,NA   ,NA   ,NA   ,NA   ,NA   ,1    ,1    ,1    ,1    ,NA   ,NA   ,NA   ,NA   ,NA   ,NA   ,39.868874,-75.049364
2350,765 14TH AVENUE,PATERSON,NJ,7504,31,PASSAIC,4010,PATERSON PUBLIC SCHOOL DISTRICT,25,STARS ACADEMY,Ms,CECILIA,FREDERICK-OTOOLE,Principal,cotoole@paterson.k12.nj.us, ,765 14TH AVENUE,,PATERSON,NJ,7504,,,,,,,,,(973)321-0568,NA   ,NA   ,NA   ,NA   ,NA   ,NA   ,NA   ,NA   ,NA   ,NA   ,1    ,1    ,1    ,1    ,NA   ,NA   ,40.915912,-74.141947
344,121 NORTH SECOND STREET,PATERSON,NJ,7522,31,PASSAIC,4010,PATERSON PUBLIC SCHOOL DISTRICT,160,SCHOOL 12,Mr,ANDRE,MC COLLUM,Principal,gfeatherson@paterson.k12.nj.us, ,121 NORTH SECOND STREET,,PATERSON,NJ,7522,,,,,,,,,(973)321-0120,NA   ,1    ,1    ,1    ,1    ,1    ,1    ,1    ,1    ,1    ,NA   ,NA   ,NA   ,NA   ,NA   ,NA   ,40.92997,-74.170352
345,121 SOUTH ELEVENTH AVENUE,HIGHLAND PARK,NJ,8904,23,MIDDLESEX,2150,HIGHLAND PARK BORO SCHOOL DISTRICT,70,IRVING PRIMARY SCHOOL,Ms,KELLY,WYSOCZANSKI,Principal,KWYSOCZANSKI@HPSCHOOLS.NET, ,121 SOUTH ELEVENTH AVENUE,,HIGHLAND PARK,NJ,8904,Ms,Kelly,Wysoczanski,Anti-Bullying Specialist,,,,,(732)572-1205,1    ,1    ,1    ,NA   ,NA   ,NA   ,NA   ,NA   ,NA   ,NA   ,NA   ,NA   ,NA   ,NA   ,NA   ,NA   ,40.502143,-74.417423
346,121 W ST GEORGE AVE,LINDEN,NJ,07036-3960,39,UNION,2660,LINDEN PUBLIC SCHOOL DISTRICT,50,LINDEN HIGH SCHOOL,Mrs,Yelena,Horre,Principal,yhorre@lindenps.org, ,121 W ST GEORGE AVE,,LINDEN,NJ,3076,Mrs,Shamona,Patterson,Anti-Bullying Specialist,,,,,(908)486-5432,NA   ,NA   ,NA   ,NA   ,NA   ,NA   ,NA   ,NA   ,NA   ,NA   ,1    ,1    ,1    ,1    ,NA   ,NA   ,40.634716,-74.265268
347,121 West Church Street,Blackwood,NJ,8012,80,CAMDEN,6067,THE KINGDOM CHARTER SCHOOL OF LEADERSHIP,949,KINGDOM CS OF LEADERSHIP,Mrs,Riscee,Langhorne,School Administrator,Rlanghorne@rsservices.org, ,121 West Church Street,,Blackwood,NJ,8012,Ms,Rhonda,Sumter,Anti-Bullying Specialist,,,,,(856)232-0100,NA   ,1    ,1    ,1    ,1    ,1    ,1    ,1    ,NA   ,NA   ,NA   ,NA   ,NA   ,NA   ,NA   ,NA   ,39.8019,-75.070599
348,121 WEST NEW YORK AVENUE,SOMERS POINT,NJ,08244-1408,1,ATLANTIC,4800,SOMERS POINT SCHOOL DISTRICT,60,NEW YORK AVENUE ELEMENTARY SCHOOL,Mrs,Kimberly,Tucker,Principal,kimtucker@sptsd.org, ,121 WEST NEW YORK AVENUE,,SOMERS POINT,NJ,6836,Mrs,Julie,Goodwin,Anti-Bullying Specialist,,,,,(609)927-2053,1    ,NA   ,NA   ,NA   ,NA   ,NA   ,NA   ,NA   ,NA   ,NA   ,NA   ,NA   ,NA   ,NA   ,NA   ,NA   ,39.31592,-74.59647
349,1210 ELEVENTH ST,N BERGEN,NJ,07047-1810,17,HUDSON,3610,NORTH BERGEN SCHOOL DISTRICT,80,JOHN F KENNEDY ELEMENTARY SCHOOL,Mr,Michael,Guasconi,Principal,mguasconi@northbergen.k12.nj.us, ,1210 ELEVENTH ST,,N BERGEN,NJ,5237,Mrs,Seham,Escheik,Anti-Bullying Specialist,,,,,(201)974-7045,1    ,NA   ,1    ,1    ,1    ,1    ,1    ,1    ,1    ,1    ,NA   ,NA   ,NA   ,NA   ,NA   ,NA   ,40.761936,-74.044191
350,1215  83RD STREET,NORTH BERGEN,NJ,07047-4215,17,HUDSON,3610,NORTH BERGEN SCHOOL DISTRICT,70,HORACE MANN ELEMENTARY SCHOOL,Mr,Richard,Locricchio,Principal,rlocricchio@northbergen.k12.nj.us, ,1215  83RD STREET,,NORTH BERGEN,NJ,2832,Ms,Samantha,Lugo,Anti-Bullying Specialist,,,,,(201)295-2888,NA   ,NA   ,1    ,1    ,1    ,1    ,1    ,1    ,1    ,1    ,NA   ,NA   ,NA   ,NA   ,NA   ,NA   ,40.806522,-74.011132
351,122 EAST 6TH AVE,ROSELLE,NJ,07203-2026,39,UNION,4540,ROSELLE PUBLIC SCHOOLS,10,ABRAHAM CLARK HIGH SCHOOL,Mr,RASHON,MICKENS,Principal,RMICKENS@ROSELLESCHOOLS.ORG, ,122 EAST 6TH AVE,,ROSELLE,NJ,5177,Ms,Antoine,Patterson,Anti-Bullying Specialist,,,,,(908)298-2000,NA   ,NA   ,NA   ,NA   ,NA   ,NA   ,NA   ,NA   ,NA   ,NA   ,1    ,1    ,1    ,1    ,NA   ,NA   ,40.653381,-74.261171
352,122 ELIZABETH STREET,S BOUND BROOK,NJ,8880,35,SOMERSET,4850,SOUTH BOUND BROOK PUBLIC SCHOOLS,60,ROBERT MORRIS SCHOOL,Dr,Lorise,Goeke,Principal,goeke@rmschool.com, ,122 ELIZABETH STREET,,S BOUND BROOK,NJ,8880,Mrs,Madeline,Santiago,Anti-Bullying Specialist,,,,,(732)356-1936,1    ,1    ,1    ,1    ,1    ,1    ,1    ,1    ,1    ,1    ,NA   ,NA   ,NA   ,NA   ,NA   ,NA   ,40.554064,-74.532129
353,122 FORT DIX STREET,WRIGHTSTOWN,NJ,8562,5,BURLINGTON,3540,NEW HANOVER TOWNSHIP,50,NEW HANOVER TOWNSHIP SCHOOL,Mr,Scott,Larkin,School Principal,slarkin@newhanover.k12.nj.us, ,122 FORT DIX STREET,,WRIGHTSTOWN,NJ,8562,Mr,Dan,Yanda,Anti-Bullying Specialist,,,,,(609)723-2139,1    ,1    ,1    ,1    ,1    ,1    ,1    ,1    ,1    ,1    ,NA   ,NA   ,NA   ,NA   ,NA   ,NA   ,40.0349,-74.6189
354,122 SEWALL ROAD,BRIDGETON,NJ,08302-8503,11,CUMBERLAND,2270,HOPEWELL TOWNSHIP SCHOOL DISTRICT,60,HOPEWELL CREST,Mrs,MEGHAN,PRICE,School Principal,MPRICE@hopewellcrest.org, ,122 SEWALL ROAD,,BRIDGETON,NJ,-201,Mr,Ken,Blizzard,Anti-Bullying Specialist,,,,,(856)451-9203,NA   ,1    ,1    ,1    ,1    ,1    ,1    ,1    ,1    ,1    ,NA   ,NA   ,NA   ,NA   ,NA   ,NA   ,39.454402,-75.262556
355,122 STEVENS AVE,CEDAR GROVE,NJ,07009-1147,13,ESSEX,760,CEDAR GROVE TOWNSHIP SCHOOL DISTRICT,60,NORTH END ELEMENTARY,Ms,Traci,Dyer,Principal,dyer.traci@cgschools.org, ,122 STEVENS AVE,,CEDAR GROVE,NJ,5862,Mr,Kevin,Skowronek,Anti-Bullying Specialist,,,,,(973)712-0266,1    ,1    ,1    ,1    ,1    ,1    ,NA   ,NA   ,NA   ,NA   ,NA   ,NA   ,NA   ,NA   ,NA   ,NA   ,40.872849,-74.235045
356,1220 WINSTON WAY,CHERRY HILL,NJ,08034-2919,7,CAMDEN,800,CHERRY HILL SCHOOL DISTRICT,62,BARCLAY EARLY CHILDHOOD CENTER,Mrs,Karen,Rockhill,Principal,KRockhill@chclc.org, ,1220 WINSTON WAY,,CHERRY HILL,NJ,5115,Ms,Toni,Tomei,Anti-Bullying Specialist,,,,,(856)429-7283,1    ,1    ,NA   ,NA   ,NA   ,NA   ,NA   ,NA   ,NA   ,NA   ,NA   ,NA   ,NA   ,NA   ,NA   ,NA   ,39.903096,-74.992025
357,1225 RAIDER WAY,TOMS RIVER,NJ,8753,29,OCEAN,5190,TOMS RIVER REGIONAL SCHOOL DISTRICT,30,TOMS RIVER HIGH SCHOOL EAST,Mr,Patrick,Thomas,Principal,pthomas@trschools.com, ,1225 RAIDER WAY,,TOMS RIVER,NJ,8753,Ms,Carol ann,Salvaggione,Anti-Bullying Specialist,,,,,(732)505-5665,NA   ,NA   ,NA   ,NA   ,NA   ,NA   ,NA   ,NA   ,NA   ,NA   ,1    ,1    ,1    ,1    ,NA   ,NA   ,39.964548,-74.142539
358,123 CHANGEBRIDGE ROAD,MONTVILLE,NJ,07045-9560,27,MORRIS,3340,MONTVILLE TOWNSHIP SCHOOL DISTRICT,30,ROBERT R LAZAR MIDDLE SCHOOL,Mrs,Sharon,Carr,Principal,sharon.carr@montville.net, ,123 CHANGEBRIDGE ROAD,,MONTVILLE,NJ,-2515,Ms,Kelly,Mccorkle,Anti-Bullying Specialist,,,,,(973)331-7100,NA   ,NA   ,NA   ,NA   ,NA   ,NA   ,NA   ,1    ,1    ,1    ,NA   ,NA   ,NA   ,NA   ,NA   ,NA   ,40.896759,-74.366128
